KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
1/0/9,1,1,0,2.0k,0.2k,1.8k,0.0k,16.2k,5.6k,5.0k,5.5k,-,2.7k,0.8k,2.7k,7.5k,5.9k,1.6k,0.0k,35,5,-,11,6.7k,5.4k,25,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241396?gameHash=eb3bfc67009f83fa,Braum
2/3/4,2,1,0,5.6 mil,3.8 mil,1.9 mil,0.0 mil,132.8 mil,92.5 mil,34.9 mil,5.5 mil,39,5.0 mil,4.2 mil,0.3 mil,18.2 mil,13.0 mil,3.4 mil,1.9 mil.1,14,4,-,3,11.0 mil,10.8 mil,242,0,-.2,0,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Sion
4/3/10,4,1,0,9.6 mil,0.5 mil,8.2 mil,1.0 mil,151.7 mil,16.2 mil,124.0 mil,11.6 mil,-,18.1 mil,2.4 mil,6.1 mil,14.7 mil,9.7 mil,4.0 mil,1.0 mil,5,20,-,4,11.3 mil,8.1 mil,46,137,92,9,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Taliyah
5/1/4,3,2,0,10.4 mil,4.4 mil,3.8 mil,2.3 mil,170.9 mil,132.6 mil,25.0 mil,13.3 mil,-,12.0 mil,5.0 mil,3.7 mil,15.8 mil,10.1 mil,5.5 mil,0.2 mil,13,6,-,6,12.9 mil,10.1 mil,245,23,5,8,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Irelia
5/2/8,4,1,0,12.9 mil,8.5 mil,4.3 mil,0.1 mil,175.0 mil,138.2 mil,25.1 mil,11.7 mil,492,34.7 mil,5.2 mil,3.7 mil,11.5 mil,7.8 mil,3.0 mil,0.6 mil,10,3,-,5,13.2 mil,12.1 mil,255,24,9,4,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Kaisa
1/1/15,1,1,0,5.3 mil,0.5 mil,3.9 mil,0.9 mil,29.9 mil,7.3 mil,8.6 mil,14.0 mil,-,2.7 mil,2.2 mil,8.9 mil,15.1 mil,8.4 mil,6.2 mil,0.5 mil,43,10,-,12,9.1 mil,7.0 mil,49,-,-,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Alistar
6/4/1,3,1,1,16.8 mil,14.6 mil,0.3 mil,1.9 mil,165.9 mil,163.6 mil,0.3 mil,1.9 mil,-,0.2 mil,0.2 mil,1.1 mil,18.2 mil,10.5 mil,6.7 mil,1.0 mil,15,2,-,6,12.7 mil,12.2 mil,257,12,12,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Urgot
0/2/2,0,0,0,6.0 mil,0.2 mil,5.4 mil,0.5 mil,149.8 mil,18.7 mil,117.3 mil,13.8 mil,-,14.0 mil,1.6 mil,8.9 mil,14.7 mil,9.4 mil,4.6 mil,0.7 mil,13,6,-,12,8.4 mil,8.0 mil,31,126,84,8,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Gragas
1/2/4,1,1,0,11.3 mil,1.1 mil,10.2 mil,0.0 mil,137.3 mil,14.0 mil,121.7 mil,1.5 mil,-,1.2 mil,1.2 mil,0.4 mil,12.3 mil,6.3 mil,5.5 mil,0.6 mil,16,5,-,9,9.9 mil,9.6 mil,226,4,4,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Lissandra
1/6/3,1,1,0,9.9 mil,9.5 mil,0.3 mil,0.0 mil,145.6 mil,142.6 mil,0.5 mil,2.6 mil,395,0.0 mil,0.0 mil,0.4 mil,11.6 mil,5.5 mil,4.1 mil,1.9 mil,14,9,-,8,10.9 mil,10.9 mil,253,12,12,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0&tab=stats,Kalista
